id,ans
1,5
2,2
3,0
4,1
5,2
6,5
7,2
8,3
9,3
10,5
11,5
12,2
13,5
14,0
15,2
16,0
17,0
18,0
19,4
20,0
21,0
22,2
23,2
24,5
25,5
26,1
27,5
28,5
29,1
30,1
31,0
32,2
33,1
34,3
35,1
36,1
37,2
38,2
39,2
40,1
41,4
42,1
43,2
44,5
45,3
46,0
47,5
48,3
49,1
50,2
51,2
52,4
53,5
54,5
55,0
56,1
57,3
58,3
59,3
60,0
61,4
62,3
63,2
64,2
65,2
66,2
67,2
68,5
69,0
70,1
71,1
72,5
73,2
74,2
75,0
76,4
77,2
78,2
79,3
80,1
81,1
82,5
83,0
84,4
85,1
86,2
87,2
88,1
89,5
90,4
91,2
92,1
93,4
94,5
95,1
96,2
97,4
98,2
99,0
100,4
101,1
102,5
103,1
104,1
105,0
106,0
107,4
108,0
109,1
110,0
111,5
112,4
113,1
114,0
115,0
116,3
117,0
118,5
119,0
120,3
121,1
122,2
123,0
124,1
125,5
126,1
127,0
128,3
129,3
130,5
131,4
132,1
133,2
134,2
135,3
136,3
137,1
138,4
139,1
140,0
141,4
142,4
143,0
144,5
145,1
146,1
147,4
148,0
149,4
150,3
151,2
152,2
153,4
154,4
155,0
156,2
157,0
158,3
159,1
160,2
161,0
162,2
163,0
164,5
165,2
166,2
167,0
168,1
169,3
170,0
171,4
172,0
173,1
174,4
175,0
176,5
177,0
178,2
179,5
180,1
181,3
182,5
183,3
184,1
185,0
186,3
187,0
188,5
189,5
190,3
191,3
192,5
193,0
194,3
195,3
196,0
197,5
198,3
199,0
200,5
201,0
202,5
203,2
204,2
205,0
206,0
207,4
208,0
209,4
210,4
211,0
212,2
213,2
214,3
215,2
216,0
217,4
218,2
219,4
220,1
221,2
222,1
223,5
224,4
225,1
226,3
227,1
228,4
229,4
230,0
231,4
232,0
233,1
234,1
235,0
236,1
237,4
238,0
239,0
240,2
241,3
242,0
243,4
244,2
245,3
246,1
247,3
248,2
249,0
250,0
251,5
252,2
253,3
254,1
255,4
256,0
257,1
258,5
259,1
260,1
261,0
262,4
263,2
264,3
265,4
266,3
267,4
268,4
269,4
270,2
271,4
272,4
273,3
274,1
275,3
276,4
277,5
278,4
279,5
280,2
281,0
282,1
283,4
284,5
285,1
286,4
287,4
288,3
289,4
290,2
291,3
292,1
293,2
294,2
295,3
296,0
297,2
298,1
299,2
300,0
301,0
302,5
303,4
304,2
305,4
306,4
307,0
308,1
309,4
310,1
311,4
312,4
313,5
314,3
315,1
316,4
317,2
318,4
319,5
320,5
321,3
322,1
323,0
324,4
325,4
326,5
327,0
328,0
329,5
330,1
331,0
332,3
333,0
334,2
335,4
336,2
337,2
338,3
339,1
340,1
341,1
342,4
343,3
344,3
345,2
346,5
347,3
348,1
349,1
350,0
351,1
352,5
353,2
354,1
355,0
356,0
357,2
358,1
359,4
360,1
361,3
362,1
363,5
364,0
365,5
366,4
367,3
368,5
369,4
370,2
371,0
372,5
373,5
374,0
375,5
376,5
377,1
378,4
379,2
380,2
381,4
382,2
383,5
384,5
385,2
386,1
387,5
388,0
389,4
390,3
391,0
392,1
393,0
394,5
395,0
396,2
397,5
398,4
399,4
400,5
401,4
402,0
403,1
404,3
405,2
406,0
407,2
408,3
409,4
410,4
411,5
412,4
413,5
414,1
415,1
416,4
417,1
418,1
419,0
420,0
421,0
422,1
423,1
424,1
425,4
426,3
