id,ans
1,5
2,2
3,0
4,4
5,3
6,0
7,2
8,3
9,3
10,0
11,3
12,2
13,5
14,5
15,2
16,0
17,2
18,0
19,1
20,0
21,0
22,2
23,2
24,4
25,4
26,5
27,2
28,3
29,5
30,0
31,5
32,3
33,1
34,3
35,0
36,1
37,1
38,0
39,2
40,4
41,3
42,3
43,2
44,5
45,4
46,3
47,5
48,3
49,1
50,2
51,2
52,4
53,5
54,5
55,4
56,1
57,5
58,5
59,3
60,0
61,3
62,3
63,2
64,2
65,0
66,2
67,2
68,0
69,0
70,1
71,5
72,5
73,2
74,2
75,0
76,4
77,2
78,2
79,3
80,1
81,1
82,5
83,0
84,2
85,5
86,5
87,4
88,1
89,3
90,5
91,5
92,1
93,0
94,4
95,3
96,2
97,1
98,2
99,5
100,5
101,1
102,1
103,1
104,1
105,0
106,3
107,4
108,0
109,1
110,5
111,3
112,0
113,1
114,0
115,4
116,2
117,2
118,4
119,0
120,1
121,1
122,0
123,3
124,4
125,5
126,4
127,2
128,0
129,2
130,5
131,3
132,0
133,4
134,5
135,3
136,1
137,0
138,2
139,1
140,0
141,4
142,2
143,5
144,5
145,1
146,1
147,4
148,5
149,1
150,4
151,0
152,2
153,4
154,5
155,0
156,2
157,0
158,2
159,1
160,2
161,0
162,2
163,0
164,4
165,5
166,1
167,0
168,1
169,3
170,0
171,0
172,3
173,0
174,4
175,2
176,4
177,5
178,2
179,5
180,1
181,2
182,2
183,3
184,1
185,0
186,5
187,0
188,5
189,3
190,3
191,3
192,5
193,0
194,3
195,1
196,0
197,2
198,3
199,5
200,5
201,0
202,3
203,3
204,5
205,5
206,5
207,4
208,4
209,4
210,3
211,3
212,2
213,5
214,4
215,2
216,0
217,3
218,2
219,3
220,4
221,2
222,5
223,1
224,4
225,2
226,3
227,2
228,5
229,3
230,1
231,4
232,0
233,1
234,4
235,0
236,1
237,2
238,1
239,0
240,2
241,5
242,0
243,5
244,3
245,3
246,0
247,3
248,2
249,0
250,3
251,1
252,2
253,3
254,1
255,0
256,0
257,1
258,4
259,1
260,1
261,4
262,2
263,1
264,2
265,1
266,3
267,0
268,5
269,3
270,2
271,4
272,1
273,2
274,0
275,4
276,5
277,2
278,1
279,5
280,3
281,0
282,2
283,5
284,3
285,3
286,4
287,2
288,3
289,4
290,3
291,5
292,1
293,2
294,2
295,4
296,2
297,2
298,1
299,1
300,0
301,0
302,2
303,4
304,2
305,4
306,1
307,0
308,1
309,2
310,0
311,4
312,0
313,5
314,3
315,5
316,4
317,2
318,2
319,0
320,5
321,3
322,1
323,2
324,3
325,1
326,2
327,5
328,5
329,2
330,1
331,0
332,5
333,0
334,3
335,0
336,0
337,5
338,3
339,1
340,0
341,4
342,4
343,0
344,0
345,2
346,2
347,3
348,4
349,1
350,0
351,1
352,5
353,3
354,4
355,0
356,5
357,2
358,1
359,4
360,5
361,2
362,0
363,5
364,0
365,2
366,5
367,2
368,5
369,4
370,3
371,3
372,5
373,1
374,0
375,5
376,3
377,4
378,0
379,0
380,2
381,3
382,0
383,5
384,5
385,2
386,1
387,1
388,0
389,4
390,3
391,0
392,5
393,2
394,3
395,0
396,3
397,5
398,1
399,1
400,0
401,1
402,2
403,1
404,3
405,0
406,0
407,2
408,3
409,1
410,2
411,5
412,4
413,5
414,2
415,1
416,4
417,1
418,1
419,0
420,5
421,4
422,0
423,5
424,0
425,0
426,1
